               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.050852,            0.022894,           0.0074725,             0.78186,             0.37392,             0.41569,             0.15813,            0.050616,            0.011092,           0.0049462,            0.006832,            0.006832,            0.006832
                  66,             0.06058,            0.019863,            0.009261,              0.8831,             0.38999,             0.49525,             0.21177,            0.045429,            0.011607,           0.0049159,           0.0067825,           0.0067825,           0.0067825
                  67,            0.056742,            0.022145,           0.0079786,             0.84564,             0.41379,             0.47303,             0.22493,            0.049247,            0.011267,           0.0048937,            0.006733,            0.006733,            0.006733
                  68,            0.061064,            0.021734,           0.0086126,             0.87906,             0.39671,             0.50106,             0.21519,            0.049017,            0.010993,           0.0048751,           0.0066835,           0.0066835,           0.0066835
                  69,            0.060583,            0.021819,           0.0074861,             0.92437,             0.38914,             0.53473,             0.23321,            0.051465,            0.010616,           0.0047154,            0.006634,            0.006634,            0.006634
                  70,            0.063235,            0.019636,           0.0057643,             0.90003,             0.36099,             0.47486,             0.18038,            0.050494,            0.011333,            0.004623,           0.0065845,           0.0065845,           0.0065845
                  71,            0.061014,            0.020646,           0.0063114,             0.90088,              0.3932,             0.51291,             0.19919,            0.045177,             0.01131,           0.0046841,            0.006535,            0.006535,            0.006535
                  72,            0.055812,            0.018913,           0.0071021,             0.88418,             0.39116,             0.49898,             0.21238,            0.042711,            0.011622,           0.0047201,           0.0064855,           0.0064855,           0.0064855
                  73,            0.059571,            0.022689,           0.0085738,             0.85133,             0.36034,             0.42893,             0.18179,            0.046808,            0.011458,           0.0046974,            0.006436,            0.006436,            0.006436
                  74,            0.055962,             0.02183,           0.0069902,             0.69629,             0.46655,             0.49399,             0.20903,            0.042074,            0.011535,           0.0046806,           0.0063865,           0.0063865,           0.0063865
                  75,             0.05185,            0.019459,           0.0064659,             0.69554,             0.47602,             0.49868,             0.24484,            0.040435,            0.011374,           0.0045568,            0.006337,            0.006337,            0.006337
                  76,            0.051987,            0.021095,           0.0076592,             0.67963,             0.50383,             0.48323,             0.23364,            0.041127,            0.011147,           0.0043965,           0.0062875,           0.0062875,           0.0062875
                  77,             0.05031,            0.018157,           0.0068862,              0.6052,             0.44515,             0.48774,             0.21671,            0.043553,            0.010755,           0.0041896,            0.006238,            0.006238,            0.006238
                  78,            0.056199,             0.01959,           0.0068738,             0.93643,             0.29662,             0.47136,             0.20574,            0.048341,             0.01033,           0.0041155,           0.0061885,           0.0061885,           0.0061885
                  79,            0.055753,            0.019529,           0.0063509,             0.66657,              0.4899,             0.53631,             0.27343,            0.041633,            0.010642,           0.0040672,            0.006139,            0.006139,            0.006139
                  80,            0.051571,             0.01965,           0.0076942,             0.93721,             0.34684,             0.51473,             0.26476,            0.043807,            0.010556,           0.0039616,           0.0060895,           0.0060895,           0.0060895
                  81,            0.051858,            0.020527,           0.0067274,             0.68511,             0.53831,             0.59743,             0.29215,            0.043937,            0.010768,           0.0038038,             0.00604,             0.00604,             0.00604
